process,location,material,old_gwp,patched_gwp,difference,percent_change,reason_for_change,notes
Bayer process / alumina refining,GR,Bayer_liquor,1.101811516145918,1.044258798217783,-0.0575527179281352,-5.22346309552579,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
Bayer process / alumina refining,KZ,Bayer_liquor,2.8362024790015243,2.760187051870848,-0.0760154271306765,-2.6801833682000566,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
Bayer process / alumina refining,US,Bayer_liquor,1.0218086042009131,0.962172696733295,-0.0596359074676181,-5.836308993919202,black-box aluminium oxide proxy replaced with bauxite-excluded extracted unit-process exchanges,Bauxite input burden excluded from alumina/Bayer proxy to preserve step-wise boundary.
High-purity gallium refining,CA,6N_Ga,0.3520653322995847,0.352065331834301,-4.6528370045706424e-10,-1.3215834044720372e-07,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
High-purity gallium refining,CN,6N_Ga,0.3949669363028794,0.3949669382712511,1.968371743377162e-09,4.983636761604068e-07,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
High-purity gallium refining,JP,6N_Ga,0.3777124221862376,0.3777124215810211,-6.05216488036575e-10,-1.6023208464617633e-07,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
High-purity gallium refining,US,6N_Ga,0.3689062357814255,0.3689062348248433,-9.565822023382964e-10,-2.593022588279221e-07,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
TMG synthesis,CN,TMG,37.917004574029306,37.91700457426584,2.3653257130717975e-10,6.23816606729502e-10,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
TMG synthesis,JP,TMG,37.62407195190439,37.62407195210913,2.0473578388191527e-10,5.441616849543375e-10,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
TMG synthesis,KR,TMG,37.67696257016458,37.6769625703235,1.58919988280104e-10,4.2179617845826213e-10,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
TMG synthesis,US,TMG,37.53870563422938,37.538705634814626,5.85245629736164e-10,1.5590458430791294e-09,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Wafer manufacturing,CN,GaAs_wafer,1013.773383969804,1013.7733842941622,3.243582114009769e-07,3.1995139794539944e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Wafer manufacturing,JP,GaAs_wafer,631.500897603572,631.5008974968833,-1.0668861705198653e-07,-1.689445216259389e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Wafer manufacturing,KR,GaAs_wafer,700.5223263936002,700.52232640907,1.5469822756131183e-08,2.208326868862592e-09,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Wafer manufacturing,US,GaAs_wafer,520.0991889999354,520.099188982083,-1.7852471501100812e-08,-3.432512851140597e-09,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
Wafer manufacturing,CN,GaN_wafer,52867.21873479858,53663.56684008983,796.3481052912466,1.5063173822062057,single-Si wafer for electronics background exchange linked to exact local activity,"Exact match used: market for single-Si wafer, for electronics | GLO | square meter."
Wafer manufacturing,JP,GaN_wafer,34694.250466645804,35490.598389163024,796.3479225172196,2.2953311047396996,single-Si wafer for electronics background exchange linked to exact local activity,"Exact match used: market for single-Si wafer, for electronics | GLO | square meter."
Wafer manufacturing,KR,GaN_wafer,37975.4812437292,38771.82916813728,796.3479244080809,2.0970054843994372,single-Si wafer for electronics background exchange linked to exact local activity,"Exact match used: market for single-Si wafer, for electronics | GLO | square meter."
Wafer manufacturing,US,GaN_wafer,29398.29063596888,30194.638572158423,796.3479361895443,2.708823945073904,single-Si wafer for electronics background exchange linked to exact local activity,"Exact match used: market for single-Si wafer, for electronics | GLO | square meter."
ZLR refining,CN,4N_Ga,439.488028718636,439.48802892412664,2.054906644843868e-07,4.6756828640705414e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
ZLR refining,JP,4N_Ga,430.7624496848507,430.7624498481763,1.633255806154921e-07,3.79154637863589e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
ZLR refining,KR,4N_Ga,432.3379016239279,432.33790179487414,1.7094623672164746e-07,3.9539960775945624e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
ZLR refining,US,4N_Ga,428.21964464678183,428.2196447924604,1.4567854123015422e-07,3.401958388674989e-08,changed during patch-v2 rerun; inspect node if not one of the targeted patch categories,
ZS mining,AU,Zn_sphalerite_concentrate,0.4332496635152246,0.4182702544606985,-0.0149794090545261,-3.457454284670142,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
ZS mining,CA,Zn_sphalerite_concentrate,0.088723995181066,0.1348143803087316,0.0460903851276656,51.94804971710906,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
ZS mining,CN,Zn_sphalerite_concentrate,0.1348143843398795,0.4378586630859034,0.3030442787460239,224.78630913895756,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
ZS mining,KZ,Zn_sphalerite_concentrate,0.0046090388159425,24611.26568892468,24611.261079885862,533978169.04375786,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
ZS mining,US,Zn_sphalerite_concentrate,0.1348143843398795,0.9681289382378148,0.8333145538979353,618.1199120392617,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
Zinc concentration,AU,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,CA,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,CN,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,JP,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,KR,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,KZ,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc concentration,US,Zn_sphalerite_concentrate,0.0,0.0,0.0,0.0,unchanged intentional zero placeholder to avoid double counting combined zinc concentrate proxy,No separate concentration-only local dataset found; combined zinc concentrate burden remains assigned to ZS mining.
Zinc smelting/refining,CN,ZLR_Zn_residue,2.690779420001048,3.3634743204478355,0.6726949004467873,25.000001688972528,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
Zinc smelting/refining,JP,ZLR_Zn_residue,10.247699781059804,0.0116883577635934,-10.23601142329621,-99.88594164531249,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
Zinc smelting/refining,KR,ZLR_Zn_residue,881.6754539603377,1.0329246371716467,-880.6425293231661,-99.8828452541656,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
Zinc smelting/refining,US,ZLR_Zn_residue,2.690779420001048,1.2802829089092878,-1.4104965110917604,-52.41962609819615,non-targeted rerun shift from ambiguous LiAISON/Brightway activity matching; freeze selected activity before final EF if material,Run log reported multiple candidate activities for zinc mine operation or primary zinc production from concentrate; patch-v2 did not edit this node recipe.
