time_period,loc_from,loc_to,mode,distance_km,shipping_cost_usd_per_kg,notes
0,MM,AU,ocean,6037,0.0408,Claude+GPT reconciled (Medium confidence). Ocean route MM→AU
0,MM,BR,ocean,17150,0.0735,Claude+GPT reconciled (Medium confidence). Ocean route MM→BR
0,MM,CA,ocean,12150,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route MM→CA
0,MM,CN,land/rail,2300,0.0615,Claude+GPT reconciled (Medium confidence). Land/Rail route MM→CN
0,MM,EE,ocean,15650,0.0638,Claude+GPT reconciled (Medium confidence). Ocean route MM→EE
0,MM,JP,ocean,4800,0.0405,Claude+GPT reconciled (Medium confidence). Ocean route MM→JP
0,MM,MY,ocean,1850,0.0278,Claude+GPT reconciled (High confidence). Ocean route MM→MY
0,MM,US,ocean,14400,0.059,Claude+GPT reconciled (Medium confidence). Ocean route MM→US
0,MY,AU,ocean,4075,0.0308,Claude+GPT reconciled (High confidence). Ocean route MY→AU
0,MY,BR,ocean,17300,0.0754,Claude+GPT reconciled (High confidence). Ocean route MY→BR
0,MY,CA,ocean,14200,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→CA
0,MY,CN,ocean,3000,0.0265,Claude+GPT reconciled (Medium confidence). Ocean route MY→CN
0,MY,EE,ocean,11200,0.0479,Claude+GPT reconciled (High confidence). Ocean route MY→EE
0,MY,JP,ocean,4900,0.0315,Claude+GPT reconciled (High confidence). Ocean route MY→JP
0,MY,MM,ocean,1650,0.0303,Claude+GPT reconciled (High confidence). Ocean route MY→MM
0,MY,US,ocean,14250,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→US
0,US,AU,ocean,12250,0.0528,Claude+GPT reconciled (High confidence). Ocean route US→AU
0,US,BR,ocean,9200,0.042,Claude+GPT reconciled (High confidence). Ocean route US→BR
0,US,CA,coastal sea/land,1875,0.029,Claude+GPT reconciled (High confidence). Coastal Sea/Land route US→CA
0,US,CN,ocean,11650,0.043,Claude+GPT reconciled (High confidence). Ocean route US→CN
0,US,EE,ocean,8075,0.0419,Claude+GPT reconciled (High confidence). Ocean route US→EE
0,US,JP,ocean,9250,0.0435,Claude+GPT reconciled (High confidence). Ocean route US→JP
0,US,MM,ocean,14150,0.0634,Claude+GPT reconciled (Medium confidence). Ocean route US→MM
0,US,MY,ocean,13800,0.0525,Claude+GPT reconciled (High confidence). Ocean route US→MY
1,AU,BR,ocean,15600,0.068,Claude+GPT reconciled (Medium confidence). Ocean route AU→BR
1,AU,CA,ocean,12000,0.0557,Claude+GPT reconciled (High confidence). Ocean route AU→CA
1,AU,CN,ocean,6400,0.0343,Claude+GPT reconciled (High confidence). Ocean route AU→CN
1,AU,EE,ocean,16500,0.0653,Claude+GPT reconciled (Medium confidence). Ocean route AU→EE
1,AU,JP,ocean,7900,0.0403,Claude+GPT reconciled (Medium confidence). Ocean route AU→JP
1,AU,MM,ocean,5436,0.0413,Claude+GPT reconciled (Medium confidence). Ocean route AU→MM
1,AU,MY,ocean,4100,0.028,Claude+GPT reconciled (High confidence). Ocean route AU→MY
1,AU,US,ocean,12450,0.0528,Claude+GPT reconciled (High confidence). Ocean route AU→US
1,BR,AU,ocean,13400,0.061,Claude+GPT reconciled (Medium confidence). Ocean route BR→AU
1,BR,CA,ocean,11400,0.0503,Claude+GPT reconciled (High confidence). Ocean route BR→CA
1,BR,CN,ocean,19500,0.0598,Claude+GPT reconciled (High confidence). Ocean route BR→CN
1,BR,EE,ocean,11050,0.0535,Claude+GPT reconciled (High confidence). Ocean route BR→EE
1,BR,JP,ocean,18350,0.07,Claude+GPT reconciled (High confidence). Ocean route BR→JP
1,BR,MM,ocean,17900,0.071,Claude+GPT reconciled (Medium confidence). Ocean route BR→MM
1,BR,MY,ocean,17650,0.0691,Claude+GPT reconciled (Medium confidence). Ocean route BR→MY
1,BR,US,ocean,9300,0.04,Claude+GPT reconciled (High confidence). Ocean route BR→US
1,CA,AU,ocean,12500,0.0594,Claude+GPT reconciled (Medium confidence). Ocean route CA→AU
1,CA,BR,ocean,12150,0.0499,Claude+GPT reconciled (High confidence). Ocean route CA→BR
1,CA,CN,ocean,9200,0.0424,Claude+GPT reconciled (High confidence). Ocean route CA→CN
1,CA,EE,land/rail,10000,0.0725,Claude+GPT reconciled (Medium confidence). Land/Rail route CA→EE
1,CA,JP,ocean,7700,0.0347,Claude+GPT reconciled (High confidence). Ocean route CA→JP
1,CA,MM,ocean,13500,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route CA→MM
1,CA,MY,ocean,11900,0.049,Claude+GPT reconciled (High confidence). Ocean route CA→MY
1,CA,US,coastal sea/land,1925,0.0215,Claude+GPT reconciled (High confidence). Coastal Sea/Land route CA→US
1,CN,AU,ocean,9000,0.0418,Claude+GPT reconciled (High confidence). Ocean route CN→AU
1,CN,BR,ocean,19500,0.0655,Claude+GPT reconciled (High confidence). Ocean route CN→BR
1,CN,CA,ocean,9300,0.0404,Claude+GPT reconciled (High confidence). Ocean route CN→CA
1,CN,EE,ocean,19750,0.0613,Claude+GPT reconciled (High confidence). Ocean route CN→EE
1,CN,JP,ocean,1900,0.0215,Claude+GPT reconciled (High confidence). Ocean route CN→JP
1,CN,MM,land/rail,2150,0.0423,Claude+GPT reconciled (Medium confidence). Land/Rail route CN→MM
1,CN,MY,ocean,3050,0.024,Claude+GPT reconciled (High confidence). Ocean route CN→MY
1,CN,US,ocean,11200,0.0454,Claude+GPT reconciled (Medium confidence). Ocean route CN→US
1,EE,AU,ocean,16500,0.0688,Claude+GPT reconciled (Medium confidence). Ocean route EE→AU
1,EE,BR,ocean,11700,0.0505,Claude+GPT reconciled (High confidence). Ocean route EE→BR
1,EE,CA,land/rail,7200,0.0324,Kept original (data unavailable: insufficient data for EE→CA)
1,EE,CN,ocean,19500,0.0578,Claude+GPT reconciled (High confidence). Ocean route EE→CN
1,EE,JP,ocean,17500,0.059,Claude+GPT reconciled (Medium confidence). Ocean route EE→JP
1,EE,MM,ocean,12850,0.0565,Claude+GPT reconciled (Medium confidence). Ocean route EE→MM
1,EE,MY,ocean,12650,0.0497,Claude+GPT reconciled (Medium confidence). Ocean route EE→MY
1,EE,US,ocean,8000,0.0365,Claude+GPT reconciled (High confidence). Ocean route EE→US
1,JP,AU,ocean,8000,0.0388,Claude+GPT reconciled (Medium confidence). Ocean route JP→AU
1,JP,BR,ocean,18500,0.0833,Claude+GPT reconciled (High confidence). Ocean route JP→BR
1,JP,CA,ocean,7540,0.0335,Claude+GPT reconciled (Medium confidence). Ocean route JP→CA
1,JP,CN,ocean,1875,0.024,Claude+GPT reconciled (High confidence). Ocean route JP→CN
1,JP,EE,ocean,19500,0.0788,Claude+GPT reconciled (Medium confidence). Ocean route JP→EE
1,JP,MM,ocean,5250,0.034,Claude+GPT reconciled (High confidence). Ocean route JP→MM
1,JP,MY,ocean,4850,0.0303,Claude+GPT reconciled (High confidence). Ocean route JP→MY
1,JP,US,ocean,9200,0.0435,Claude+GPT reconciled (High confidence). Ocean route JP→US
1,MM,AU,ocean,6037,0.0408,Claude+GPT reconciled (Medium confidence). Ocean route MM→AU
1,MM,BR,ocean,17150,0.0735,Claude+GPT reconciled (Medium confidence). Ocean route MM→BR
1,MM,CA,ocean,12150,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route MM→CA
1,MM,CN,land/rail,2300,0.0615,Claude+GPT reconciled (Medium confidence). Land/Rail route MM→CN
1,MM,EE,ocean,15650,0.0638,Claude+GPT reconciled (Medium confidence). Ocean route MM→EE
1,MM,JP,ocean,4800,0.0405,Claude+GPT reconciled (Medium confidence). Ocean route MM→JP
1,MM,MY,ocean,1850,0.0278,Claude+GPT reconciled (High confidence). Ocean route MM→MY
1,MM,US,ocean,14400,0.059,Claude+GPT reconciled (Medium confidence). Ocean route MM→US
1,MY,AU,ocean,4075,0.0308,Claude+GPT reconciled (High confidence). Ocean route MY→AU
1,MY,BR,ocean,17300,0.0754,Claude+GPT reconciled (High confidence). Ocean route MY→BR
1,MY,CA,ocean,14200,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→CA
1,MY,CN,ocean,3000,0.0265,Claude+GPT reconciled (Medium confidence). Ocean route MY→CN
1,MY,EE,ocean,11200,0.0479,Claude+GPT reconciled (High confidence). Ocean route MY→EE
1,MY,JP,ocean,4900,0.0315,Claude+GPT reconciled (High confidence). Ocean route MY→JP
1,MY,MM,ocean,1650,0.0303,Claude+GPT reconciled (High confidence). Ocean route MY→MM
1,MY,US,ocean,14250,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→US
1,US,AU,ocean,12250,0.0528,Claude+GPT reconciled (High confidence). Ocean route US→AU
1,US,BR,ocean,9200,0.042,Claude+GPT reconciled (High confidence). Ocean route US→BR
1,US,CA,coastal sea/land,1875,0.029,Claude+GPT reconciled (High confidence). Coastal Sea/Land route US→CA
1,US,CN,ocean,11650,0.043,Claude+GPT reconciled (High confidence). Ocean route US→CN
1,US,EE,ocean,8075,0.0419,Claude+GPT reconciled (High confidence). Ocean route US→EE
1,US,JP,ocean,9250,0.0435,Claude+GPT reconciled (High confidence). Ocean route US→JP
1,US,MM,ocean,14150,0.0634,Claude+GPT reconciled (Medium confidence). Ocean route US→MM
1,US,MY,ocean,13800,0.0525,Claude+GPT reconciled (High confidence). Ocean route US→MY
2,AU,BR,ocean,15600,0.068,Claude+GPT reconciled (Medium confidence). Ocean route AU→BR
2,AU,CA,ocean,12000,0.0557,Claude+GPT reconciled (High confidence). Ocean route AU→CA
2,AU,CN,ocean,6400,0.0343,Claude+GPT reconciled (High confidence). Ocean route AU→CN
2,AU,EE,ocean,16500,0.0653,Claude+GPT reconciled (Medium confidence). Ocean route AU→EE
2,AU,JP,ocean,7900,0.0403,Claude+GPT reconciled (Medium confidence). Ocean route AU→JP
2,AU,MM,ocean,5436,0.0413,Claude+GPT reconciled (Medium confidence). Ocean route AU→MM
2,AU,MY,ocean,4100,0.028,Claude+GPT reconciled (High confidence). Ocean route AU→MY
2,AU,US,ocean,12450,0.0528,Claude+GPT reconciled (High confidence). Ocean route AU→US
2,BR,AU,ocean,13400,0.061,Claude+GPT reconciled (Medium confidence). Ocean route BR→AU
2,BR,CA,ocean,11400,0.0503,Claude+GPT reconciled (High confidence). Ocean route BR→CA
2,BR,CN,ocean,19500,0.0598,Claude+GPT reconciled (High confidence). Ocean route BR→CN
2,BR,EE,ocean,11050,0.0535,Claude+GPT reconciled (High confidence). Ocean route BR→EE
2,BR,JP,ocean,18350,0.07,Claude+GPT reconciled (High confidence). Ocean route BR→JP
2,BR,MM,ocean,17900,0.071,Claude+GPT reconciled (Medium confidence). Ocean route BR→MM
2,BR,MY,ocean,17650,0.0691,Claude+GPT reconciled (Medium confidence). Ocean route BR→MY
2,BR,US,ocean,9300,0.04,Claude+GPT reconciled (High confidence). Ocean route BR→US
2,CA,AU,ocean,12500,0.0594,Claude+GPT reconciled (Medium confidence). Ocean route CA→AU
2,CA,BR,ocean,12150,0.0499,Claude+GPT reconciled (High confidence). Ocean route CA→BR
2,CA,CN,ocean,9200,0.0424,Claude+GPT reconciled (High confidence). Ocean route CA→CN
2,CA,EE,land/rail,10000,0.0725,Claude+GPT reconciled (Medium confidence). Land/Rail route CA→EE
2,CA,JP,ocean,7700,0.0347,Claude+GPT reconciled (High confidence). Ocean route CA→JP
2,CA,MM,ocean,13500,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route CA→MM
2,CA,MY,ocean,11900,0.049,Claude+GPT reconciled (High confidence). Ocean route CA→MY
2,CA,US,coastal sea/land,1925,0.0215,Claude+GPT reconciled (High confidence). Coastal Sea/Land route CA→US
2,CN,AU,ocean,9000,0.0418,Claude+GPT reconciled (High confidence). Ocean route CN→AU
2,CN,BR,ocean,19500,0.0655,Claude+GPT reconciled (High confidence). Ocean route CN→BR
2,CN,CA,ocean,9300,0.0404,Claude+GPT reconciled (High confidence). Ocean route CN→CA
2,CN,EE,ocean,19750,0.0613,Claude+GPT reconciled (High confidence). Ocean route CN→EE
2,CN,JP,ocean,1900,0.0215,Claude+GPT reconciled (High confidence). Ocean route CN→JP
2,CN,MM,land/rail,2150,0.0423,Claude+GPT reconciled (Medium confidence). Land/Rail route CN→MM
2,CN,MY,ocean,3050,0.024,Claude+GPT reconciled (High confidence). Ocean route CN→MY
2,CN,US,ocean,11200,0.0454,Claude+GPT reconciled (Medium confidence). Ocean route CN→US
2,EE,AU,ocean,16500,0.0688,Claude+GPT reconciled (Medium confidence). Ocean route EE→AU
2,EE,BR,ocean,11700,0.0505,Claude+GPT reconciled (High confidence). Ocean route EE→BR
2,EE,CA,land/rail,7200,0.0324,Kept original (data unavailable: insufficient data for EE→CA)
2,EE,CN,ocean,19500,0.0578,Claude+GPT reconciled (High confidence). Ocean route EE→CN
2,EE,JP,ocean,17500,0.059,Claude+GPT reconciled (Medium confidence). Ocean route EE→JP
2,EE,MM,ocean,12850,0.0565,Claude+GPT reconciled (Medium confidence). Ocean route EE→MM
2,EE,MY,ocean,12650,0.0497,Claude+GPT reconciled (Medium confidence). Ocean route EE→MY
2,EE,US,ocean,8000,0.0365,Claude+GPT reconciled (High confidence). Ocean route EE→US
2,JP,AU,ocean,8000,0.0388,Claude+GPT reconciled (Medium confidence). Ocean route JP→AU
2,JP,BR,ocean,18500,0.0833,Claude+GPT reconciled (High confidence). Ocean route JP→BR
2,JP,CA,ocean,7540,0.0335,Claude+GPT reconciled (Medium confidence). Ocean route JP→CA
2,JP,CN,ocean,1875,0.024,Claude+GPT reconciled (High confidence). Ocean route JP→CN
2,JP,EE,ocean,19500,0.0788,Claude+GPT reconciled (Medium confidence). Ocean route JP→EE
2,JP,MM,ocean,5250,0.034,Claude+GPT reconciled (High confidence). Ocean route JP→MM
2,JP,MY,ocean,4850,0.0303,Claude+GPT reconciled (High confidence). Ocean route JP→MY
2,JP,US,ocean,9200,0.0435,Claude+GPT reconciled (High confidence). Ocean route JP→US
2,MM,AU,ocean,6037,0.0408,Claude+GPT reconciled (Medium confidence). Ocean route MM→AU
2,MM,BR,ocean,17150,0.0735,Claude+GPT reconciled (Medium confidence). Ocean route MM→BR
2,MM,CA,ocean,12150,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route MM→CA
2,MM,CN,land/rail,2300,0.0615,Claude+GPT reconciled (Medium confidence). Land/Rail route MM→CN
2,MM,EE,ocean,15650,0.0638,Claude+GPT reconciled (Medium confidence). Ocean route MM→EE
2,MM,JP,ocean,4800,0.0405,Claude+GPT reconciled (Medium confidence). Ocean route MM→JP
2,MM,MY,ocean,1850,0.0278,Claude+GPT reconciled (High confidence). Ocean route MM→MY
2,MM,US,ocean,14400,0.059,Claude+GPT reconciled (Medium confidence). Ocean route MM→US
2,MY,AU,ocean,4075,0.0308,Claude+GPT reconciled (High confidence). Ocean route MY→AU
2,MY,BR,ocean,17300,0.0754,Claude+GPT reconciled (High confidence). Ocean route MY→BR
2,MY,CA,ocean,14200,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→CA
2,MY,CN,ocean,3000,0.0265,Claude+GPT reconciled (Medium confidence). Ocean route MY→CN
2,MY,EE,ocean,11200,0.0479,Claude+GPT reconciled (High confidence). Ocean route MY→EE
2,MY,JP,ocean,4900,0.0315,Claude+GPT reconciled (High confidence). Ocean route MY→JP
2,MY,MM,ocean,1650,0.0303,Claude+GPT reconciled (High confidence). Ocean route MY→MM
2,MY,US,ocean,14250,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→US
2,US,AU,ocean,12250,0.0528,Claude+GPT reconciled (High confidence). Ocean route US→AU
2,US,BR,ocean,9200,0.042,Claude+GPT reconciled (High confidence). Ocean route US→BR
2,US,CA,coastal sea/land,1875,0.029,Claude+GPT reconciled (High confidence). Coastal Sea/Land route US→CA
2,US,CN,ocean,11650,0.043,Claude+GPT reconciled (High confidence). Ocean route US→CN
2,US,EE,ocean,8075,0.0419,Claude+GPT reconciled (High confidence). Ocean route US→EE
2,US,JP,ocean,9250,0.0435,Claude+GPT reconciled (High confidence). Ocean route US→JP
2,US,MM,ocean,14150,0.0634,Claude+GPT reconciled (Medium confidence). Ocean route US→MM
2,US,MY,ocean,13800,0.0525,Claude+GPT reconciled (High confidence). Ocean route US→MY
3,AU,BR,ocean,15600,0.068,Claude+GPT reconciled (Medium confidence). Ocean route AU→BR
3,AU,CA,ocean,12000,0.0557,Claude+GPT reconciled (High confidence). Ocean route AU→CA
3,AU,CN,ocean,6400,0.0343,Claude+GPT reconciled (High confidence). Ocean route AU→CN
3,AU,EE,ocean,16500,0.0653,Claude+GPT reconciled (Medium confidence). Ocean route AU→EE
3,AU,JP,ocean,7900,0.0403,Claude+GPT reconciled (Medium confidence). Ocean route AU→JP
3,AU,MM,ocean,5436,0.0413,Claude+GPT reconciled (Medium confidence). Ocean route AU→MM
3,AU,MY,ocean,4100,0.028,Claude+GPT reconciled (High confidence). Ocean route AU→MY
3,AU,US,ocean,12450,0.0528,Claude+GPT reconciled (High confidence). Ocean route AU→US
3,BR,AU,ocean,13400,0.061,Claude+GPT reconciled (Medium confidence). Ocean route BR→AU
3,BR,CA,ocean,11400,0.0503,Claude+GPT reconciled (High confidence). Ocean route BR→CA
3,BR,CN,ocean,19500,0.0598,Claude+GPT reconciled (High confidence). Ocean route BR→CN
3,BR,EE,ocean,11050,0.0535,Claude+GPT reconciled (High confidence). Ocean route BR→EE
3,BR,JP,ocean,18350,0.07,Claude+GPT reconciled (High confidence). Ocean route BR→JP
3,BR,MM,ocean,17900,0.071,Claude+GPT reconciled (Medium confidence). Ocean route BR→MM
3,BR,MY,ocean,17650,0.0691,Claude+GPT reconciled (Medium confidence). Ocean route BR→MY
3,BR,US,ocean,9300,0.04,Claude+GPT reconciled (High confidence). Ocean route BR→US
3,CA,AU,ocean,12500,0.0594,Claude+GPT reconciled (Medium confidence). Ocean route CA→AU
3,CA,BR,ocean,12150,0.0499,Claude+GPT reconciled (High confidence). Ocean route CA→BR
3,CA,CN,ocean,9200,0.0424,Claude+GPT reconciled (High confidence). Ocean route CA→CN
3,CA,EE,land/rail,10000,0.0725,Claude+GPT reconciled (Medium confidence). Land/Rail route CA→EE
3,CA,JP,ocean,7700,0.0347,Claude+GPT reconciled (High confidence). Ocean route CA→JP
3,CA,MM,ocean,13500,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route CA→MM
3,CA,MY,ocean,11900,0.049,Claude+GPT reconciled (High confidence). Ocean route CA→MY
3,CA,US,coastal sea/land,1925,0.0215,Claude+GPT reconciled (High confidence). Coastal Sea/Land route CA→US
3,CN,AU,ocean,9000,0.0418,Claude+GPT reconciled (High confidence). Ocean route CN→AU
3,CN,BR,ocean,19500,0.0655,Claude+GPT reconciled (High confidence). Ocean route CN→BR
3,CN,CA,ocean,9300,0.0404,Claude+GPT reconciled (High confidence). Ocean route CN→CA
3,CN,EE,ocean,19750,0.0613,Claude+GPT reconciled (High confidence). Ocean route CN→EE
3,CN,JP,ocean,1900,0.0215,Claude+GPT reconciled (High confidence). Ocean route CN→JP
3,CN,MM,land/rail,2150,0.0423,Claude+GPT reconciled (Medium confidence). Land/Rail route CN→MM
3,CN,MY,ocean,3050,0.024,Claude+GPT reconciled (High confidence). Ocean route CN→MY
3,CN,US,ocean,11200,0.0454,Claude+GPT reconciled (Medium confidence). Ocean route CN→US
3,EE,AU,ocean,16500,0.0688,Claude+GPT reconciled (Medium confidence). Ocean route EE→AU
3,EE,BR,ocean,11700,0.0505,Claude+GPT reconciled (High confidence). Ocean route EE→BR
3,EE,CA,land/rail,7200,0.0324,Kept original (data unavailable: insufficient data for EE→CA)
3,EE,CN,ocean,19500,0.0578,Claude+GPT reconciled (High confidence). Ocean route EE→CN
3,EE,JP,ocean,17500,0.059,Claude+GPT reconciled (Medium confidence). Ocean route EE→JP
3,EE,MM,ocean,12850,0.0565,Claude+GPT reconciled (Medium confidence). Ocean route EE→MM
3,EE,MY,ocean,12650,0.0497,Claude+GPT reconciled (Medium confidence). Ocean route EE→MY
3,EE,US,ocean,8000,0.0365,Claude+GPT reconciled (High confidence). Ocean route EE→US
3,JP,AU,ocean,8000,0.0388,Claude+GPT reconciled (Medium confidence). Ocean route JP→AU
3,JP,BR,ocean,18500,0.0833,Claude+GPT reconciled (High confidence). Ocean route JP→BR
3,JP,CA,ocean,7540,0.0335,Claude+GPT reconciled (Medium confidence). Ocean route JP→CA
3,JP,CN,ocean,1875,0.024,Claude+GPT reconciled (High confidence). Ocean route JP→CN
3,JP,EE,ocean,19500,0.0788,Claude+GPT reconciled (Medium confidence). Ocean route JP→EE
3,JP,MM,ocean,5250,0.034,Claude+GPT reconciled (High confidence). Ocean route JP→MM
3,JP,MY,ocean,4850,0.0303,Claude+GPT reconciled (High confidence). Ocean route JP→MY
3,JP,US,ocean,9200,0.0435,Claude+GPT reconciled (High confidence). Ocean route JP→US
3,MM,AU,ocean,6037,0.0408,Claude+GPT reconciled (Medium confidence). Ocean route MM→AU
3,MM,BR,ocean,17150,0.0735,Claude+GPT reconciled (Medium confidence). Ocean route MM→BR
3,MM,CA,ocean,12150,0.0605,Claude+GPT reconciled (Medium confidence). Ocean route MM→CA
3,MM,CN,land/rail,2300,0.0615,Claude+GPT reconciled (Medium confidence). Land/Rail route MM→CN
3,MM,EE,ocean,15650,0.0638,Claude+GPT reconciled (Medium confidence). Ocean route MM→EE
3,MM,JP,ocean,4800,0.0405,Claude+GPT reconciled (Medium confidence). Ocean route MM→JP
3,MM,MY,ocean,1850,0.0278,Claude+GPT reconciled (High confidence). Ocean route MM→MY
3,MM,US,ocean,14400,0.059,Claude+GPT reconciled (Medium confidence). Ocean route MM→US
3,MY,AU,ocean,4075,0.0308,Claude+GPT reconciled (High confidence). Ocean route MY→AU
3,MY,BR,ocean,17300,0.0754,Claude+GPT reconciled (High confidence). Ocean route MY→BR
3,MY,CA,ocean,14200,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→CA
3,MY,CN,ocean,3000,0.0265,Claude+GPT reconciled (Medium confidence). Ocean route MY→CN
3,MY,EE,ocean,11200,0.0479,Claude+GPT reconciled (High confidence). Ocean route MY→EE
3,MY,JP,ocean,4900,0.0315,Claude+GPT reconciled (High confidence). Ocean route MY→JP
3,MY,MM,ocean,1650,0.0303,Claude+GPT reconciled (High confidence). Ocean route MY→MM
3,MY,US,ocean,14250,0.0538,Claude+GPT reconciled (High confidence). Ocean route MY→US
3,US,AU,ocean,12250,0.0528,Claude+GPT reconciled (High confidence). Ocean route US→AU
3,US,BR,ocean,9200,0.042,Claude+GPT reconciled (High confidence). Ocean route US→BR
3,US,CA,coastal sea/land,1875,0.029,Claude+GPT reconciled (High confidence). Coastal Sea/Land route US→CA
3,US,CN,ocean,11650,0.043,Claude+GPT reconciled (High confidence). Ocean route US→CN
3,US,EE,ocean,8075,0.0419,Claude+GPT reconciled (High confidence). Ocean route US→EE
3,US,JP,ocean,9250,0.0435,Claude+GPT reconciled (High confidence). Ocean route US→JP
3,US,MM,ocean,14150,0.0634,Claude+GPT reconciled (Medium confidence). Ocean route US→MM
