process,flow,value,unit,input,year,comments,type,process_location,supplying_location,"code (UUID, 3.8)",Ecoinvent selection
Bayer liquor refining,sulfuric acid production,56,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - 98% sulfuric acid; normalization=56 kg per 1 kg 4N_Ga; original_flow=98% sulfuric acid; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 sulfuric acid production selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,AU,RoW,a69fcb0a-ce51-40be-b74c-ae895861e3bb,sulfuric acid production | sulfuric acid | RoW | kg | ecoinvent 3.8
Bayer liquor refining,"tap water production, conventional treatment",1.65,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Water; normalization=1.65 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,AU,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"treatment of wastewater, average, capacity 1E9l/year",-0.329,m3,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - W3 Salty water; normalization=329 kg aqueous waste converted to 0.329 m3 assuming 1000 kg/m3; original_flow=W3 Salty water; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - exact proxy with kg/ton to m3 conversion; uuid_note=Matches Luo Table 1 wastewater treatment proxy. Mass quantities converted to m3 assuming aqueous density of 1000 kg/m3. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,AU,RoW,a9f2745f-2e27-44cb-8129-26648d64ce80,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | RoW | m3 | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",0.72,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity (cooling for water softening); normalization=0.72 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for water softening); luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",1.35,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity (cooling for acid dilution); normalization=1.35 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for acid dilution); luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",9.9,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP4: acid making - Electricity; normalization=9.9 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP4: acid making; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",4.55,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP5: leaching - Electricity; normalization=4.55 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP5: leaching; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",26.1,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP5: leaching - Electricity (cooling for leaching); normalization=26.1 kWh per 1 kg 4N_Ga; original_flow=Electricity (cooling for leaching); luo_unit_process=UP5: leaching; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
Bayer liquor refining,"tap water production, conventional treatment",30.9,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP6: resin regeneration - Water; normalization=30.9 kg per 1 kg 4N_Ga; original_flow=Water; luo_unit_process=UP6: resin regeneration; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=High - exact ecoinvent 3.8 activity/reference product; uuid_note=Matches Luo Table 1 tap water treatment selection, using local ecoinvent 3.8. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. TAP_WATER_SIGN_CORRECTED_FOR_LIAISON: tap water production input converted from negative physical-source sign to positive technosphere input; wastewater treatment rows remain negative.",technosphere,AU,RoW,6f427cb8-804f-4c6b-b276-ab83bd2464ce,"tap water production, conventional treatment | tap water | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"treatment of inert waste, inert material landfill",-1.8,kg,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP6: resin regeneration - S2 used resin; normalization=1.8 kg per 1 kg 4N_Ga; original_flow=S2 used resin; luo_unit_process=UP6: resin regeneration; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - proxy for Luo chemical waste, inert; uuid_note=Local ecoinvent 3.8 has no exact 'chemical waste, inert'; selected inert waste landfill proxy.; peer_review_flag=waste proxy SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN.",technosphere,AU,RoW,561ca14c-12cb-4e61-91ae-1f53a250eaa8,"treatment of inert waste, inert material landfill | inert waste, for final disposal | RoW | kg | ecoinvent 3.8"
Bayer liquor refining,"electricity, high voltage, production mix",1.98,kWh,TRUE,2025,"Source: Luo 2025; table=Table 1; row=UP6: resin regeneration - Electricity; normalization=1.98 kWh per 1 kg 4N_Ga; original_flow=Electricity; luo_unit_process=UP6: resin regeneration; boundary=Gate-to-gate Luo 2025 foreground inventory from Bayer Liquor treatment through 99.99% primary gallium metal; upstream aluminum extraction/alumina production excluded.; uuid_basis=ecoinvent 3.8 only; confidence=Medium - regional proxy review; uuid_note=Luo Table 1 used ecoinvent 3.10 CN-NCGC high-voltage production mix; local ecoinvent 3.8 index has no CN-NCGC. Selected CN-SX production mix because Luo cites a Shanxi EIA data source. Review before publication. SOURCE_AUDIT_NOTES: source_note: Luo et al. 2025, Life cycle assessment for primary gallium production at industrial-scale. | source_table: Luo 2025 Table 1 | baseline_scope: Luo_2025_Bayer_liquor_to_4N_Ga MASTER_BOUNDARY_NOTE: Luo 2025 Bayer_liquor to 4N_Ga foreground; upstream bauxite/alumina burden excluded from this node. PROXY_NEEDS_REVIEW. TECHNOLOGY_TRANSFER_VARIANT: foreground process quantities are transferred from the source inventory to BLEECAM topology location; background electricity/geography adjusted where available. SOURCE_PROCESS_LOCATION=CN. ELECTRICITY_GEOGRAPHY_ADJUSTED_TO_AU: exact ecoinvent 3.8 electricity UUID used for topology process location.",technosphere,AU,AU,39096c03-d4e5-44c0-89bc-0f94f5972f99,"electricity, high voltage, production mix | electricity, high voltage | AU | kWh | ecoinvent 3.8"
