time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
3,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
4,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
5,TMG synthesis,JP,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
0,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
1,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
2,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
3,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
4,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
5,TMG synthesis,KR,TMG,0.001421026,0.001421026,0.001421026,0.001421026,
0,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
1,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
2,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
3,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
4,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
5,Wafer manufacturing,CN,Ga_manufacturing_scrap,0.020918348,0.20918348,0.020918348,0.020918348,
0,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
1,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
2,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
3,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
4,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
5,Wafer manufacturing,CN,GaAs_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
0,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
1,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
2,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
3,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
4,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
5,Wafer manufacturing,CN,GaN_wafer,0.020918348,0.20918348,0.020918348,0.020918348,
0,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,JP,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,JP,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,JP,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,KR,Ga_manufacturing_scrap,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,KR,GaAs_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
1,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
2,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
3,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
4,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
5,Wafer manufacturing,KR,GaN_wafer,0.010459174,0.010459174,0.010459174,0.010459174,
0,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
1,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
2,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
3,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
4,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
5,Wafer manufacturing,US,Ga_manufacturing_scrap,0.005229587,0.005229587,0.005229587,0.522958701,
0,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
1,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
2,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
3,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
4,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
5,Wafer manufacturing,US,GaAs_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
0,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
1,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
2,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
3,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
4,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
5,Wafer manufacturing,US,GaN_wafer,0.005229587,0.005229587,0.005229587,0.522958701,
0,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
1,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
2,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
3,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
4,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
5,ZLR refining,CN,4N_Ga,0.060281396,0.602813962,0.060281396,0.060281396,
0,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
1,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
2,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
3,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
4,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
5,ZLR refining,JP,4N_Ga,0.001130276,0.001130276,0.001130276,0.001130276,
0,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
1,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
2,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
3,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
4,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
5,ZLR refining,KR,4N_Ga,0.000753517,0.000753517,0.000753517,0.000753517,
0,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
1,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
2,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
3,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
4,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
5,ZLR refining,US,4N_Ga,0.0,0.0,0.0,0.0,0.0
0,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
1,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
2,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
3,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
4,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
5,ZS mining,AU,Zn_sphalerite_concentrate,2.61e-07,2.61e-07,2.61e-07,2.61e-06,
0,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
1,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
2,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
3,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
4,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
5,ZS mining,CA,Zn_sphalerite_concentrate,3.06e-08,3.06e-08,3.06e-08,3.06e-06,
0,ZS mining,CN,Zn_sphalerite_concentrate,9.72e-07,9.72e-06,9.72e-07,9.72e-07,
1,ZS mining,CN,Zn_sphalerite_concentrate,9.72e-07,9.72e-06,9.72e-07,9.72e-07,
2,ZS mining,CN,Zn_sphalerite_concentrate,9.72e-07,9.72e-06,9.72e-07,9.72e-07,
3,ZS mining,CN,Zn_sphalerite_concentrate,9.72e-07,9.72e-06,9.72e-07,9.72e-07,
4,ZS mining,CN,Zn_sphalerite_concentrate,9.72e-07,9.72e-06,9.72e-07,9.72e-07,
